,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
8/5/2008,19501.79,18387.78,11615.77
8/6/2008,19588.54,18464.18,11656.07
8/7/2008,19211.02,18108.33,11431.43
8/8/2008,19720.03,18588.12,11734.32
8/11/2008,19806.26,18667.84,11782.35
8/12/2008,19571.12,18446.22,11642.47
8/13/2008,19400.16,18281.37,11532.96
8/14/2008,19539.72,18412.89,11615.93
8/15/2008,19622.62,18488.48,11659.9
8/18/2008,19318.84,18202.25,11479.39
8/19/2008,19100.13,17995.77,11348.55
8/20/2008,19222.96,18109.54,11417.43
8/21/2008,19244.48,18129.82,11430.21
8/22/2008,19584.01,18447.87,11628.06
8/25/2008,19176.74,18064.23,11386.25
8/26/2008,19221.58,18106.46,11412.87
8/27/2008,19372.56,18248.68,11502.51
8/28/2008,19735.98,18589.54,11715.18
8/29/2008,19446.83,18317.19,11543.55
9/1/2008,19446.83,18317.19,11543.55
9/2/2008,19405.06,18276.97,11516.92
9/3/2008,19449,18313.54,11532.88
9/4/2008,18867.78,17766.25,11188.23
9/5/2008,18922.98,17818.23,11220.96
9/8/2008,19412.78,18279.11,11510.74
9/9/2008,18940.55,17834.47,11230.73
9/10/2008,19004.96,17895.11,11268.92
9/11/2008,19288.17,18160.29,11433.71
9/12/2008,19268.4,18141.67,11421.99
9/15/2008,18417.36,17340.4,10917.51
9/16/2008,18656.08,17565.16,11059.02
9/17/2008,17898.04,16851.44,10609.66
9/18/2008,18594.16,17505.61,11019.69
9/19/2008,19216.38,18091.4,11388.44
9/22/2008,18591.18,17501.74,11015.69
9/23/2008,18318.58,17245.11,10854.17
9/24/2008,18269.65,17199.05,10825.17
9/25/2008,18601.94,17511.86,11022.06
9/26/2008,18806.26,17704.21,11143.13
9/29/2008,17493.77,16468.63,10365.45
9/30/2008,18312.66,17239.54,10850.66
10/1/2008,18282.01,17210,10831.07
10/2/2008,17699.19,16659.96,10482.85
10/3/2008,17433.33,16409.71,10325.38
10/6/2008,16808.81,15821.86,9955.5
10/7/2008,15950.45,15013.9,9447.11
10/8/2008,15642.68,14720.99,9258.1
10/9/2008,14495.56,13641.47,8579.19
10/10/2008,14279.3,13437.95,8451.19
10/13/2008,15861.49,14926.92,9387.61
10/14/2008,15732.03,14805.08,9310.99
10/15/2008,14493.41,13639.44,8577.91
10/16/2008,15177.45,14281.51,8979.26
10/17/2008,14962.72,14079.45,8852.22
10/20/2008,15661.16,14736.67,9265.43
10/21/2008,15269.4,14368.03,9033.66
10/22/2008,14404.92,13553.15,8519.21
10/23/2008,14695.82,13826.85,8691.25
10/24/2008,14167.76,13330.01,8378.95
10/27/2008,13824.21,13006.77,8175.77
10/28/2008,15327.98,14421.63,9065.12
10/29/2008,15202.6,14303.66,8990.96
10/30/2008,15525.6,14606.93,9180.69
10/31/2008,15769.66,14836.56,9325.01
11/3/2008,15760.91,14828.32,9319.83
11/4/2008,16277.46,15314.31,9625.28
11/5/2008,15468.74,14549.72,9139.27
11/6/2008,14724.54,13847.92,8695.79
11/7/2008,15150.07,14246.55,8943.81
11/10/2008,15025.95,14129.83,8870.54
11/11/2008,14726.84,13848.56,8693.96
11/12/2008,14040.35,13200.13,8282.66
11/13/2008,14977.09,14080.81,8835.25
11/14/2008,14412.66,13547.78,8497.31
11/17/2008,14033.18,13191.07,8273.58
11/18/2008,14291.38,13433.27,8424.75
11/19/2008,13572.65,12755.89,7997.28
11/20/2008,12817.43,12046.11,7552.29
11/21/2008,13662.69,12838.63,8046.42
11/24/2008,14336.73,13472.02,8443.39
